trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,15,-5.232681575901115,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",30,6,-182.78157159755398,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 4}",1
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,0,-106.79749137351655,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-59.3789705348311,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,0,-50.73663510225589,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,8,-16.10761225912772,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,5,-36.693096441612894,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,0,-18.980493191936315,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,0,-51.587216860232196,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",20,0,-8.487159571472287,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.004086771438464067}",20,11,-6.667613722280521,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",25,0,31.071273160242853,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,10,20.38070983953876,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,3,-21.305860479242483,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.0005530843701478336}",35,20,24.95483829802942,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",30,4,-19.26632661071292,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",20,0,21.889647151943493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",20,12,13.957905257089806,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",30,16,23.399614598192112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",25,15,15.646796881356051,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-0.4104991994176699,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
