trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,1,-27.364323854668395,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-74.14941540368876,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-80.07744404902641,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,11,-84.95223513239016,"{0: 6, 1: 2, 2: 4, 3: 2, 4: 0}",1
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-189.85968456696477,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-141.86534308957945,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-49.91157149564862,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-132.33576364330332,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-71.39503763057111,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",30,0,-184.10012873937356,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-180.10341591663206,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-180.71892487399478,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-149.92583901358262,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-88.46394932488164,"{0: 17, 1: 7, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-104.92070116614548,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-144.82412362145146,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-106.42635318552402,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-87.72247627413432,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-106.72572337963358,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,10,-80.73831234979664,"{0: 4, 1: 1, 2: 2, 3: 3, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-225.32049297112772,"{0: 13, 1: 5, 2: 7, 3: 3, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-145.58045854529732,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-138.4109768656566,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-93.84023533248461,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-73.1333572868151,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-29.879274839838782,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-72.35572664868505,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-162.31147699663003,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,2,-48.057837487998825,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-132.91803833292718,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-66.14682411531827,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-204.2846368578355,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-174.69300707536271,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-94.9858552838586,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-142.89091391760815,"{0: 14, 1: 2, 2: 4, 3: 5, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-124.73295922081404,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,20,-13.288017694443951,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
