trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,10,-20.954591204783732,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-110.50675476321656,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,5,-16.73234054171446,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,3,-80.0522591248108,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,0,-31.15483106379944,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,0,-214.2988428888339,"{0: 14, 1: 4, 2: 1, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.0301973834223185}",20,0,-95.9266540738089,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,0,-162.99733470485674,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",25,0,-154.0657558554296,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",30,0,-246.35526088161689,"{0: 13, 1: 4, 2: 8, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.004086771438464067}",25,0,-115.22710864684986,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,0,-119.94814427443477,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",20,0,-81.75993678756566,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0009118819655545162}",30,0,-203.2610415762323,"{0: 11, 1: 9, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.0005530843701478336}",20,0,-68.0207211679171,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",25,0,-122.59664132301444,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",35,0,-131.42192169226482,"{0: 22, 1: 3, 2: 6, 3: 4, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",20,0,-114.80886849655799,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",25,0,-155.37323709507078,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",25,0,-79.12657246394262,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-288.18217922839534,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 5}",0
